,Year,Area,Variable,Generation (TWh),Share of production (%),Kind of energy
2262,2004,Greece,Coal,35.38,60.1569920660612,Fossil
2263,2004,Greece,Hard Coal,0.0,0.0,Fossil
2264,2004,Greece,Lignite,35.38,60.1569920660612,Fossil
2265,2004,Greece,Gas,8.991,15.2874933766522,Fossil
2266,2004,Greece,Other fossil,8.524,14.4934482863512,Fossil
2267,2004,Greece,Nuclear,0.0,0.0,Fossil
2269,2004,Greece,Hydro,4.67207799999999,7.94398414861558,Renewable
2271,2004,Greece,Wind,1.120765,1.90564870584847,Renewable
2272,2004,Greece,Solar,0.000775,0.00131774078154882,Renewable
2273,2004,Greece,Bioenergy,0.124163,0.211115675689609,Renewable
2274,2004,Greece,Other renewables,0.0,0.0,Renewable
2279,2004,Hungary,Coal,8.178,24.2617456085661,Fossil
2280,2004,Hungary,Hard Coal,0.432,1.28161825665206,Fossil
2281,2004,Hungary,Lignite,7.746,22.9801273519141,Fossil
2282,2004,Hungary,Gas,11.719,34.7668619206147,Fossil
2283,2004,Hungary,Other fossil,0.959783,2.84739679450067,Fossil
2284,2004,Hungary,Nuclear,11.915,35.348336870392,Fossil
2286,2004,Hungary,Hydro,0.20468,0.607225983267465,Renewable
2288,2004,Hungary,Wind,0.00555,0.0164652345472661,Renewable
2289,2004,Hungary,Solar,0.0,0.0,Renewable
2290,2004,Hungary,Bioenergy,0.725372,2.15196758811162,Renewable
2291,2004,Hungary,Other renewables,0.0,0.0,Renewable
2296,2004,Ireland,Coal,6.229,24.7035494745191,Fossil
2297,2004,Ireland,Hard Coal,6.229,24.7035494745191,Fossil
2298,2004,Ireland,Lignite,0.0,0.0,Fossil
2299,2004,Ireland,Gas,12.895,51.1401943287725,Fossil
2300,2004,Ireland,Other fossil,4.697,18.6278009121554,Fossil
2301,2004,Ireland,Nuclear,0.0,0.0,Fossil
2303,2004,Ireland,Hydro,0.63,2.49851279000594,Renewable
2305,2004,Ireland,Wind,0.655,2.59766012294269,Renewable
2306,2004,Ireland,Solar,0.0,0.0,Renewable
2307,2004,Ireland,Bioenergy,0.109,0.432282371604203,Renewable
2308,2004,Ireland,Other renewables,0.0,0.0,Renewable
2313,2004,Italy,Coal,45.518,15.4388681602198,Fossil
2314,2004,Italy,Hard Coal,45.518,15.4388681602198,Fossil
2315,2004,Italy,Lignite,0.0,0.0,Fossil
2316,2004,Italy,Gas,129.843,44.0403567495809,Fossil
2317,2004,Italy,Other fossil,65.594775,22.2485408678826,Fossil
2318,2004,Italy,Nuclear,0.0,0.0,Fossil
2320,2004,Italy,Hydro,42.337877,14.3602289464959,Renewable
2322,2004,Italy,Wind,1.846545,0.626314091280661,Renewable
2323,2004,Italy,Solar,0.029,0.00983626645824454,Renewable
2324,2004,Italy,Bioenergy,4.220849,1.43163432565569,Renewable
2325,2004,Italy,Other renewables,5.437266,1.84422059242598,Renewable
2330,2004,Latvia,Coal,0.0,0.0,Fossil
2331,2004,Latvia,Hard Coal,0.0,0.0,Fossil
2332,2004,Latvia,Lignite,0.0,0.0,Fossil
2333,2004,Latvia,Gas,1.433,30.559323045952,Fossil
2334,2004,Latvia,Other fossil,0.06,1.27952504030503,Fossil
2335,2004,Latvia,Nuclear,0.0,0.0,Fossil
2337,2004,Latvia,Hydro,3.109375,66.3087195366413,Renewable
2339,2004,Latvia,Wind,0.0491469999999999,1.04808028593119,Renewable
2340,2004,Latvia,Solar,0.0,0.0,Renewable
2341,2004,Latvia,Bioenergy,0.0377179999999999,0.804352091170424,Renewable
2342,2004,Latvia,Other renewables,0.0,0.0,Renewable
2347,2004,Lithuania,Coal,0.0,0.0,Fossil
2348,2004,Lithuania,Hard Coal,0.0,0.0,Fossil
2349,2004,Lithuania,Lignite,0.0,0.0,Fossil
2350,2004,Lithuania,Gas,2.691,14.4815757332057,Fossil
2351,2004,Lithuania,Other fossil,0.361,1.94271603109895,Fossil
2352,2004,Lithuania,Nuclear,15.102,81.2711842151147,Fossil
2354,2004,Lithuania,Hydro,0.420946999999999,2.26531990344324,Renewable
2356,2004,Lithuania,Wind,0.001172,0.00630710024500824,Renewable
2357,2004,Lithuania,Solar,0.0,0.0,Renewable
2358,2004,Lithuania,Bioenergy,0.00611299999999999,0.0328970168922656,Renewable
2359,2004,Lithuania,Other renewables,0.0,0.0,Renewable
2364,2004,Luxembourg,Coal,0.0,0.0,Fossil
2365,2004,Luxembourg,Hard Coal,0.0,0.0,Fossil
2366,2004,Luxembourg,Lignite,0.0,0.0,Fossil
2367,2004,Luxembourg,Gas,3.151957,93.199617261325,Fossil
2368,2004,Luxembourg,Other fossil,0.034754,1.02763441833124,Fossil
2369,2004,Luxembourg,Nuclear,0.0,0.0,Fossil
2371,2004,Luxembourg,Hydro,0.104057999999999,3.0768712177796,Renewable
2373,2004,Luxembourg,Wind,0.039399,1.16498154019199,Renewable
2374,2004,Luxembourg,Solar,0.009199,0.27200348202305,Renewable
2375,2004,Luxembourg,Bioenergy,0.042575,1.2588920803491,Renewable
2376,2004,Luxembourg,Other renewables,0.0,0.0,Renewable
2381,2004,Malta,Coal,0.0,0.0,Fossil
2382,2004,Malta,Hard Coal,0.0,0.0,Fossil
2383,2004,Malta,Lignite,0.0,0.0,Fossil
2384,2004,Malta,Gas,0.0,0.0,Fossil
2385,2004,Malta,Other fossil,2.216,100.0,Fossil
2386,2004,Malta,Nuclear,0.0,0.0,Fossil
2388,2004,Malta,Hydro,0.0,0.0,Renewable
2390,2004,Malta,Wind,0.0,0.0,Renewable
2391,2004,Malta,Solar,0.0,0.0,Renewable
2392,2004,Malta,Bioenergy,0.0,0.0,Renewable
2393,2004,Malta,Other renewables,0.0,0.0,Renewable
2398,2004,Netherlands,Coal,24.947,24.6973881900667,Fossil
2399,2004,Netherlands,Hard Coal,24.947,24.6973881900667,Fossil
2400,2004,Netherlands,Lignite,0.0,0.0,Fossil
2401,2004,Netherlands,Gas,59.987,59.3867890069961,Fossil
2402,2004,Netherlands,Other fossil,6.947942,6.87842308478248,Fossil
2403,2004,Netherlands,Nuclear,3.822,3.78375827403836,Fossil
2405,2004,Netherlands,Hydro,0.095,0.0940494599774057,Renewable
2407,2004,Netherlands,Wind,1.87058099999999,1.8518645567789,Renewable
2408,2004,Netherlands,Solar,0.0335809999999999,0.0332449991105396,Renewable
2409,2004,Netherlands,Bioenergy,3.307577,3.27448242824934,Renewable
2410,2004,Netherlands,Other renewables,0.0,0.0,Renewable
2415,2004,Poland,Coal,141.120999999999,92.6744030331843,Fossil
2416,2004,Poland,Hard Coal,85.071,55.8662717840436,Fossil
2417,2004,Poland,Lignite,56.05,36.8081312491407,Fossil
2418,2004,Poland,Gas,3.225,2.11786303797464,Fossil
2419,2004,Poland,Other fossil,4.72333399999999,3.10182154871594,Fossil
2420,2004,Poland,Nuclear,0.0,0.0,Fossil
2422,2004,Poland,Hydro,2.081739,1.3670815760652,Renewable
2424,2004,Poland,Wind,0.142319,0.0934611316903917,Renewable
2425,2004,Poland,Solar,0.0,0.0,Renewable
2426,2004,Poland,Bioenergy,0.982744,0.645369672369411,Renewable
2427,2004,Poland,Other renewables,0.0,0.0,Renewable
2432,2004,Portugal,Coal,14.858,33.1448448010153,Fossil
2433,2004,Portugal,Hard Coal,14.858,33.1448448010153,Fossil
2434,2004,Portugal,Lignite,0.0,0.0,Fossil
2435,2004,Portugal,Gas,11.69,26.0777517649663,Fossil
2436,2004,Portugal,Other fossil,5.964996,13.306559877418,Fossil
2437,2004,Portugal,Nuclear,0.0,0.0,Fossil
2439,2004,Portugal,Hydro,9.86900099999999,22.0155139646026,Renewable
2441,2004,Portugal,Wind,0.816329999999999,1.82104799814328,Renewable
2442,2004,Portugal,Solar,0.003,0.00669232295080402,Renewable
2443,2004,Portugal,Bioenergy,1.54193,3.43969784251108,Renewable
2444,2004,Portugal,Other renewables,0.084227,0.187891428392456,Renewable
2449,2004,Romania,Coal,21.483,38.0236461662463,Fossil
2450,2004,Romania,Hard Coal,0.751,1.3292258190593,Fossil
2451,2004,Romania,Lignite,20.732,36.694420347187,Fossil
2452,2004,Romania,Gas,10.462,18.5171245259632,Fossil
2453,2004,Romania,Other fossil,2.489,4.40538357342024,Fossil
2454,2004,Romania,Nuclear,5.548,9.81963361403597,Fossil
2456,2004,Romania,Hydro,16.513053,29.227132355652,Renewable
2458,2004,Romania,Wind,0.0,0.0,Renewable
2459,2004,Romania,Solar,0.0,0.0,Renewable
2460,2004,Romania,Bioenergy,0.004,0.00707976468207352,Renewable
2461,2004,Romania,Other renewables,0.0,0.0,Renewable
2466,2004,Slovakia,Coal,5.681,18.6629434954007,Fossil
2467,2004,Slovakia,Hard Coal,3.342,10.9789750328515,Fossil
2468,2004,Slovakia,Lignite,2.339,7.68396846254927,Fossil
2469,2004,Slovakia,Gas,2.421,7.95335085413929,Fossil
2470,2004,Slovakia,Other fossil,1.186,3.89618922470433,Fossil
2471,2004,Slovakia,Nuclear,17.026,55.9329829172141,Fossil
2473,2004,Slovakia,Hydro,4.1,13.4691195795006,Renewable
2475,2004,Slovakia,Wind,0.006,0.0197109067017082,Renewable
2476,2004,Slovakia,Solar,0.0,0.0,Renewable
2477,2004,Slovakia,Bioenergy,0.02,0.0657030223390276,Renewable
2478,2004,Slovakia,Other renewables,0.0,0.0,Renewable
2483,2004,Slovenia,Coal,5.191,33.9919984237037,Fossil
2484,2004,Slovenia,Hard Coal,0.525,3.43783455450673,Fossil
2485,2004,Slovenia,Lignite,4.666,30.554163869197,Fossil
2486,2004,Slovenia,Gas,0.358,2.34427575335887,Fossil
2487,2004,Slovenia,Other fossil,0.048337,0.316523064497508,Fossil
2488,2004,Slovenia,Nuclear,5.459,35.7469311105757,Fossil
2490,2004,Slovenia,Hydro,4.09412799999999,26.8093994456639,Renewable
2492,2004,Slovenia,Wind,0.0,0.0,Renewable
2493,2004,Slovenia,Solar,2e-06,1.3096512588597e-05,Renewable
2494,2004,Slovenia,Bioenergy,0.120774,0.790859105687612,Renewable
2495,2004,Slovenia,Other renewables,0.0,0.0,Renewable
2500,2004,Spain,Coal,79.106,28.9070631379064,Fossil
2501,2004,Spain,Hard Coal,73.115,26.7178206625038,Fossil
2502,2004,Spain,Lignite,5.991,2.18924247540259,Fossil
2503,2004,Spain,Gas,55.46,20.2662973937285,Fossil
2504,2004,Spain,Other fossil,25.34738,9.26248722019199,Fossil
2505,2004,Spain,Nuclear,63.606,23.2430240177695,Fossil
2507,2004,Spain,Hydro,31.08358,11.3586202008971,Renewable
2509,2004,Spain,Wind,15.7,5.73712349588061,Renewable
2510,2004,Spain,Solar,0.023743,0.00867621166641358,Renewable
2511,2004,Spain,Bioenergy,3.329599,1.21670832195927,Renewable
2512,2004,Spain,Other renewables,0.0,0.0,Renewable
2517,2004,Sweden,Coal,1.01,0.66585734892351,Fossil
2518,2004,Sweden,Hard Coal,1.01,0.66585734892351,Fossil
2519,2004,Sweden,Lignite,0.0,0.0,Fossil
2520,2004,Sweden,Gas,0.776,0.511589408677865,Fossil
2521,2004,Sweden,Other fossil,4.225464,2.78569926436805,Fossil
2522,2004,Sweden,Nuclear,77.486,51.0837846917694,Fossil
2524,2004,Sweden,Hydro,60.123331,39.6371898892185,Renewable
2526,2004,Sweden,Wind,0.86,0.56696764363784,Renewable
2527,2004,Sweden,Solar,0.00197499999999999,0.00130204778626132,Renewable
2528,2004,Sweden,Bioenergy,7.201371,4.74760970561846,Renewable
2529,2004,Sweden,Other renewables,0.0,0.0,Renewable
2534,2004,United Kingdom,Coal,131.788,33.6813402844659,Fossil
2535,2004,United Kingdom,Hard Coal,131.788,33.6813402844659,Fossil
2536,2004,United Kingdom,Lignite,0.0,0.0,Fossil
2537,2004,United Kingdom,Gas,157.065,40.1414370942699,Fossil
2538,2004,United Kingdom,Other fossil,8.289153,2.11847651427293,Fossil
2539,2004,United Kingdom,Nuclear,79.999,20.4455150804094,Fossil
2541,2004,United Kingdom,Hydro,4.843549,1.23787614997939,Renewable
2543,2004,United Kingdom,Wind,1.935075,0.49455124556836,Renewable
2544,2004,United Kingdom,Solar,0.004005,0.00102356639329291,Renewable
2545,2004,United Kingdom,Bioenergy,7.355149,1.87977111961597,Renewable
2546,2004,United Kingdom,Other renewables,3.5e-05,8.94502466048737e-06,Renewable
2551,2005,Austria,Coal,7.166221,11.1126752528121,Fossil
2552,2005,Austria,Hard Coal,6.070645,9.41376305030334,Fossil
2553,2005,Austria,Lignite,1.095576,1.69891220250881,Fossil
2554,2005,Austria,Gas,13.027736,20.2021399350327,Fossil
2555,2005,Austria,Other fossil,3.40836699999999,5.28536248231831,Fossil
2556,2005,Austria,Nuclear,0.0,0.0,Fossil
2558,2005,Austria,Hydro,37.095138,57.5235151207661,Renewable
2560,2005,Austria,Wind,1.331277,2.06441428090733,Renewable
2561,2005,Austria,Solar,0.021018,0.0325926605478125,Renewable
2562,2005,Austria,Bioenergy,2.434852,3.77573055096405,Renewable
2563,2005,Austria,Other renewables,0.002302,0.00356971665149226,Renewable
2568,2005,Belgium,Coal,8.199,9.59579636004373,Fossil
2569,2005,Belgium,Hard Coal,8.199,9.59579636004373,Fossil
2570,2005,Belgium,Lignite,0.0,0.0,Fossil
2571,2005,Belgium,Gas,22.849,26.741596661866,Fossil
2572,2005,Belgium,Other fossil,4.694384,5.49412768628461,Fossil
2573,2005,Belgium,Nuclear,47.595,55.7033696495038,Fossil
2575,2005,Belgium,Hydro,0.288,0.337064197059714,Renewable
2577,2005,Belgium,Wind,0.227,0.265672127543594,Renewable
2578,2005,Belgium,Solar,0.00134,0.00156828480576394,Renewable
2579,2005,Belgium,Bioenergy,1.58994,1.86080503289278,Renewable
2580,2005,Belgium,Other renewables,0.0,0.0,Renewable
2585,2005,Bulgaria,Coal,18.458,42.0149178224581,Fossil
2586,2005,Bulgaria,Hard Coal,4.342,9.88345287599487,Fossil
2587,2005,Bulgaria,Lignite,14.116,32.1314649464633,Fossil
2588,2005,Bulgaria,Gas,1.729,3.93562644463269,Fossil
2589,2005,Bulgaria,Other fossil,0.79,1.79823301981482,Fossil
2590,2005,Bulgaria,Nuclear,18.653,42.4587854665896,Fossil
2592,2005,Bulgaria,Hydro,4.297428,9.78199611376806,Renewable
2594,2005,Bulgaria,Wind,0.004587,0.0104411327365703,Renewable
2595,2005,Bulgaria,Solar,0.0,0.0,Renewable
2596,2005,Bulgaria,Bioenergy,0.0,0.0,Renewable
2597,2005,Bulgaria,Other renewables,0.0,0.0,Renewable
2602,2005,Croatia,Coal,2.328,17.8301995174817,Fossil
2603,2005,Croatia,Hard Coal,2.31,17.6923371500785,Fossil
2604,2005,Croatia,Lignite,0.018,0.137862367403209,Fossil
2605,2005,Croatia,Gas,1.816,13.9087810669015,Fossil
2606,2005,Croatia,Other fossil,1.853,14.1921648221192,Fossil
2607,2005,Croatia,Nuclear,0.0,0.0,Fossil
2609,2005,Croatia,Hydro,7.0355,53.8850381036265,Renewable
2611,2005,Croatia,Wind,0.01,0.0765902041128939,Renewable
2612,2005,Croatia,Solar,0.0,0.0,Renewable
2613,2005,Croatia,Bioenergy,0.014,0.107226285758051,Renewable
2614,2005,Croatia,Other renewables,0.0,0.0,Renewable
2619,2005,Cyprus,Coal,0.0,0.0,Fossil
2620,2005,Cyprus,Hard Coal,0.0,0.0,Fossil
2621,2005,Cyprus,Lignite,0.0,0.0,Fossil
2622,2005,Cyprus,Gas,0.0,0.0,Fossil
2623,2005,Cyprus,Other fossil,4.376,99.9789578107532,Fossil
2624,2005,Cyprus,Nuclear,0.0,0.0,Fossil
2626,2005,Cyprus,Hydro,0.0,0.0,Renewable
2628,2005,Cyprus,Wind,0.000354999999999999,0.0081107244110643,Renewable
2629,2005,Cyprus,Solar,0.000566,0.0129314648356687,Renewable
2630,2005,Cyprus,Bioenergy,0.0,0.0,Renewable
2631,2005,Cyprus,Other renewables,0.0,0.0,Renewable
2636,2005,Czech Republic,Coal,49.522,60.4431905836827,Fossil
2637,2005,Czech Republic,Hard Coal,5.562,6.78859953205531,Fossil
2638,2005,Czech Republic,Lignite,43.96,53.6545910516274,Fossil
2639,2005,Czech Republic,Gas,1.47,1.79418218484741,Fossil
2640,2005,Czech Republic,Other fossil,3.078154,3.75698576123592,Fossil
2641,2005,Czech Republic,Nuclear,24.728,30.1813177325896,Fossil
2643,2005,Czech Republic,Hydro,2.37990999999999,2.90475654662599,Renewable
2645,2005,Czech Republic,Wind,0.0212799999999999,0.0259729230568387,Renewable
2646,2005,Czech Republic,Solar,0.000414,0.000505300288793761,Renewable
2647,2005,Czech Republic,Bioenergy,0.731721,0.893088967672608,Renewable
2648,2005,Czech Republic,Other renewables,0.0,0.0,Renewable
2653,2005,Denmark,Coal,15.463,42.661259173426,Fossil
2654,2005,Denmark,Hard Coal,15.463,42.661259173426,Fossil
2655,2005,Denmark,Lignite,0.0,0.0,Fossil
2656,2005,Denmark,Gas,8.78,24.2233625779396,Fossil
2657,2005,Denmark,Other fossil,2.191,6.04480494399382,Fossil
2658,2005,Denmark,Nuclear,0.0,0.0,Fossil
2660,2005,Denmark,Hydro,0.023,0.0634552778237598,Renewable
2662,2005,Denmark,Wind,6.614,18.2475307620151,Renewable
2663,2005,Denmark,Solar,0.002,0.00551785024554433,Renewable
2664,2005,Denmark,Bioenergy,3.173,8.75406941455609,Renewable
2665,2005,Denmark,Other renewables,0.0,0.0,Renewable
2670,2005,Estonia,Coal,0.0,0.0,Fossil
2671,2005,Estonia,Hard Coal,0.0,0.0,Fossil
2672,2005,Estonia,Lignite,0.0,0.0,Fossil
2673,2005,Estonia,Gas,0.544,5.33054733844497,Fossil
2674,2005,Estonia,Other fossil,9.55,93.5785424304218,Fossil
2675,2005,Estonia,Nuclear,0.0,0.0,Fossil
2677,2005,Estonia,Hydro,0.022,0.215573605598877,Renewable
2679,2005,Estonia,Wind,0.054,0.529135213742699,Renewable
2680,2005,Estonia,Solar,0.0,0.0,Renewable
2681,2005,Estonia,Bioenergy,0.035331,0.346201411791543,Renewable
2682,2005,Estonia,Other renewables,0.0,0.0,Renewable
2687,2005,EU-27,Coal,808.939221,28.0050565948971,Fossil
2688,2005,EU-27,Hard Coal,465.022645,16.098842969976,Fossil
2689,2005,EU-27,Lignite,343.916576,11.906213624921,Fossil
2690,2005,EU-27,Gas,514.391663,17.8079727874366,Fossil
2691,2005,EU-27,Other fossil,204.298486,7.07270770677812,Fossil
2692,2005,EU-27,Nuclear,916.026,31.7123453857075,Fossil
2694,2005,EU-27,Hydro,308.312773,10.6736284168803,Renewable
2696,2005,EU-27,Wind,68.220362,2.36175357695305,Renewable
2697,2005,EU-27,Solar,1.476688,0.0511221732602892,Renewable
2698,2005,EU-27,Bioenergy,61.003235,2.1119003805192,Renewable
2699,2005,EU-27,Other renewables,5.878568,0.203512977567632,Renewable
2704,2005,EU27+1,Coal,943.576221,28.732775309672,Fossil
2705,2005,EU27+1,Hard Coal,599.659645,18.260195052184,Fossil
2706,2005,EU27+1,Lignite,343.916576,10.472580257488,Fossil
2707,2005,EU27+1,Gas,667.031663,20.3117357886617,Fossil
2708,2005,EU27+1,Other fossil,213.891542,6.51319679337837,Fossil
2709,2005,EU27+1,Nuclear,997.644,30.3791895695117,Fossil
2711,2005,EU27+1,Hydro,313.234064,9.53826917205392,Renewable
2713,2005,EU27+1,Wind,71.124254,2.16579981963115,Renewable
2714,2005,EU27+1,Solar,1.484863,0.045215462190675,Renewable
2715,2005,EU27+1,Bioenergy,70.106534,2.1348092971515,Renewable
2716,2005,EU27+1,Other renewables,5.878598,0.179008787748888,Renewable
2721,2005,Finland,Coal,6.497,9.23714635161509,Fossil
2722,2005,Finland,Hard Coal,6.497,9.23714635161509,Fossil
2723,2005,Finland,Lignite,0.0,0.0,Fossil
2724,2005,Finland,Gas,11.231,15.9677375211619,Fossil
2725,2005,Finland,Other fossil,5.867786,8.34255780236388,Fossil
2726,2005,Finland,Nuclear,23.271,33.0856753499207,Fossil
2728,2005,Finland,Hydro,13.784,19.5974796537882,Renewable
2730,2005,Finland,Wind,0.169942,0.241615995888282,Renewable
2731,2005,Finland,Solar,0.00263099999999999,0.00374063907204853,Renewable
2732,2005,Finland,Bioenergy,9.512216,13.5240466861897,Renewable
2733,2005,Finland,Other renewables,0.0,0.0,Renewable
2738,2005,France,Coal,27.515,4.81696881403354,Fossil
2739,2005,France,Hard Coal,27.515,4.81696881403354,Fossil
2740,2005,France,Lignite,0.0,0.0,Fossil
2741,2005,France,Gas,23.069,4.03862088209849,Fossil
2742,2005,France,Other fossil,12.772,2.23595586744817,Fossil
2743,2005,France,Nuclear,451.529,79.0478325143287,Fossil
2745,2005,France,Hydro,51.479877,9.01242820495304,Renewable
2747,2005,France,Wind,0.96257,0.168514253001063,Renewable
2748,2005,France,Solar,0.010501,0.00183837868494153,Renewable
2749,2005,France,Bioenergy,3.391,0.593652235085872,Renewable
2750,2005,France,Other renewables,0.480894999999999,0.0841888503661516,Renewable
2755,2005,Germany,Coal,288.2,46.7477696674777,Fossil
2756,2005,Germany,Hard Coal,134.1,21.7518248175182,Fossil
2757,2005,Germany,Lignite,154.1,24.9959448499594,Fossil
2758,2005,Germany,Gas,72.7,11.7923763179237,Fossil
2759,2005,Germany,Other fossil,29.1,4.72019464720194,Fossil
2760,2005,Germany,Nuclear,163.0,26.4395782643957,Fossil
2762,2005,Germany,Hydro,19.6,3.17923763179237,Renewable
2764,2005,Germany,Wind,27.9,4.52554744525547,Renewable
2765,2005,Germany,Solar,1.3,0.210867802108678,Renewable
2766,2005,Germany,Bioenergy,14.7,2.38442822384428,Renewable
2767,2005,Germany,Other renewables,0.0,0.0,Renewable
2772,2005,Greece,Coal,35.543,59.8093753059418,Fossil
2773,2005,Greece,Hard Coal,0.0,0.0,Fossil
2774,2005,Greece,Lignite,35.543,59.8093753059418,Fossil
2775,2005,Greece,Gas,8.171,13.749610489403,Fossil
2776,2005,Greece,Other fossil,9.306716,15.6607171625865,Fossil
2777,2005,Greece,Nuclear,0.0,0.0,Fossil
2779,2005,Greece,Hydro,5.017497,8.4431072551399,Renewable
2781,2005,Greece,Wind,1.266452,2.131100441014,Renewable
2782,2005,Greece,Solar,0.000953,0.0016036444494432799,Renewable
2783,2005,Greece,Bioenergy,0.121519999999999,0.204485701465212,Renewable
2784,2005,Greece,Other renewables,0.0,0.0,Renewable
2789,2005,Hungary,Coal,7.023,19.6418570406744,Fossil
2790,2005,Hungary,Hard Coal,0.343,0.959299012523327,Fossil
2791,2005,Hungary,Lignite,6.68,18.682558028151,Fossil
2792,2005,Hungary,Gas,12.379,34.6214649446829,Fossil
2793,2005,Hungary,Other fossil,0.649667,1.81698224947228,Fossil
2794,2005,Hungary,Nuclear,13.834,38.6907945750662,Fossil
2796,2005,Hungary,Hydro,0.202153,0.56537951393186,Renewable
2798,2005,Hungary,Wind,0.010095,0.0282335963015247,Renewable
2799,2005,Hungary,Solar,0.0,0.0,Renewable
2800,2005,Hungary,Bioenergy,1.65736,4.63528807987073,Renewable
2801,2005,Hungary,Other renewables,0.0,0.0,Renewable
2806,2005,Ireland,Coal,6.389,24.9312896933915,Fossil
2807,2005,Ireland,Hard Coal,6.389,24.9312896933915,Fossil
2808,2005,Ireland,Lignite,0.0,0.0,Fossil
2809,2005,Ireland,Gas,11.575,45.1682075756781,Fossil
2810,2005,Ireland,Other fossil,5.789,22.5899571192743,Fossil
2811,2005,Ireland,Nuclear,0.0,0.0,Fossil
2813,2005,Ireland,Hydro,0.63126,2.46331600122873,Renewable
2815,2005,Ireland,Wind,1.11191,4.33891850414447,Renewable
2816,2005,Ireland,Solar,0.0,0.0,Renewable
2817,2005,Ireland,Bioenergy,0.130262,0.508311106282763,Renewable
2818,2005,Ireland,Other renewables,0.0,0.0,Renewable
2823,2005,Italy,Coal,43.606,14.7454348413044,Fossil
2824,2005,Italy,Hard Coal,43.606,14.7454348413044,Fossil
2825,2005,Italy,Lignite,0.0,0.0,Fossil
2826,2005,Italy,Gas,149.327,50.4951508633552,Fossil
2827,2005,Italy,Other fossil,54.3524819999999,18.3793739805112,Fossil
2828,2005,Italy,Nuclear,0.0,0.0,Fossil
2830,2005,Italy,Hydro,36.066733,12.196020304321,Renewable
2832,2005,Italy,Wind,2.343399,0.792423915554694,Renewable
2833,2005,Italy,Solar,0.031,0.0104826968784212,Renewable
2834,2005,Italy,Bioenergy,4.674352,1.58063919738845,Renewable
2835,2005,Italy,Other renewables,5.32446,1.80047420068641,Renewable
2840,2005,Latvia,Coal,0.0,0.0,Fossil
2841,2005,Latvia,Hard Coal,0.0,0.0,Fossil
2842,2005,Latvia,Lignite,0.0,0.0,Fossil
2843,2005,Latvia,Gas,1.486,30.289725504968,Fossil
2844,2005,Latvia,Other fossil,0.006,0.122300372160032,Fossil
2845,2005,Latvia,Nuclear,0.0,0.0,Fossil
2847,2005,Latvia,Hydro,3.32528899999999,67.780680373277,Renewable
2849,2005,Latvia,Wind,0.0468539999999999,0.955043606197693,Renewable
2850,2005,Latvia,Solar,0.0,0.0,Renewable
2851,2005,Latvia,Bioenergy,0.041811,0.852250143397186,Renewable
2852,2005,Latvia,Other renewables,0.0,0.0,Renewable
2857,2005,Lithuania,Coal,0.0,0.0,Fossil
2858,2005,Lithuania,Hard Coal,0.0,0.0,Fossil
2859,2005,Lithuania,Lignite,0.0,0.0,Fossil
2860,2005,Lithuania,Gas,3.017,21.2252760182873,Fossil
2861,2005,Lithuania,Other fossil,0.401,2.82112551651747,Fossil
2862,2005,Lithuania,Nuclear,10.337,72.7231283397535,Fossil
2864,2005,Lithuania,Hydro,0.450751,3.17113503166027,Renewable
2866,2005,Lithuania,Wind,0.00177499999999999,0.0124875256653828,Renewable
2867,2005,Lithuania,Solar,0.0,0.0,Renewable
2868,2005,Lithuania,Bioenergy,0.00665899999999999,0.0468475681159348,Renewable
2869,2005,Lithuania,Other renewables,0.0,0.0,Renewable
2874,2005,Luxembourg,Coal,0.0,0.0,Fossil
2875,2005,Luxembourg,Hard Coal,0.0,0.0,Fossil
2876,2005,Luxembourg,Lignite,0.0,0.0,Fossil
2877,2005,Luxembourg,Gas,3.105927,92.862902610956,Fossil
2878,2005,Luxembourg,Other fossil,0.0296589999999999,0.886762898335454,Fossil
2879,2005,Luxembourg,Nuclear,0.0,0.0,Fossil
2881,2005,Luxembourg,Hydro,0.0929389999999998,2.77874699107855,Renewable
2883,2005,Luxembourg,Wind,0.052251,1.56223231399999,Renewable
2884,2005,Luxembourg,Solar,0.017698,0.529145614307322,Renewable
2885,2005,Luxembourg,Bioenergy,0.0461629999999999,1.38020957132268,Renewable
2886,2005,Luxembourg,Other renewables,0.0,0.0,Renewable
2891,2005,Malta,Coal,0.0,0.0,Fossil
2892,2005,Malta,Hard Coal,0.0,0.0,Fossil
2893,2005,Malta,Lignite,0.0,0.0,Fossil
2894,2005,Malta,Gas,0.0,0.0,Fossil
2895,2005,Malta,Other fossil,2.24,100.0,Fossil
2896,2005,Malta,Nuclear,0.0,0.0,Fossil
2898,2005,Malta,Hydro,0.0,0.0,Renewable
2900,2005,Malta,Wind,0.0,0.0,Renewable
2901,2005,Malta,Solar,0.0,0.0,Renewable
2902,2005,Malta,Bioenergy,0.0,0.0,Renewable
2903,2005,Malta,Other renewables,0.0,0.0,Renewable
2908,2005,Netherlands,Coal,23.5,23.58004505675,Fossil
2909,2005,Netherlands,Hard Coal,23.5,23.58004505675,Fossil
2910,2005,Netherlands,Lignite,0.0,0.0,Fossil
2911,2005,Netherlands,Gas,57.599,57.7951921371808,Fossil
2912,2005,Netherlands,Other fossil,7.11760399999999,7.14184778791934,Fossil
2913,2005,Netherlands,Nuclear,3.997,4.01061447199277,Fossil
2915,2005,Netherlands,Hydro,0.088,0.0882997431912343,Renewable
2917,2005,Netherlands,Wind,2.066655,2.07369438369182,Renewable
