"TIME","GEO","HHTYP","INCGRP","UNIT","Value"
"2018","Estonie","Total","Total","Pourcentage","8.8"
"2018","Irlande","Total","Total","Pourcentage","6.5"
"2018","Grèce","Total","Total","Pourcentage","20.5"
"2018","Espagne","Total","Total","Pourcentage","10.1"
"2018","France","Total","Total","Pourcentage","14.7"
"2018","Croatie","Total","Total","Pourcentage","6.3"
"2018","Italie","Total","Total","Pourcentage","11.7"
"2018","Chypre","Total","Total","Pourcentage","9.8"
"2018","Lettonie","Total","Total","Pourcentage","19.1"
"2018","Lituanie","Total","Total","Pourcentage","17.0"
"2018","Luxembourg","Total","Total","Pourcentage","15.0"
"2018","Hongrie","Total","Total","Pourcentage","9.7"
"2018","Malte","Total","Total","Pourcentage","29.7"
"2018","Pays-Bas","Total","Total","Pourcentage","16.0"
"2018","Autriche","Total","Total","Pourcentage","9.3"
"2018","Pologne","Total","Total","Pourcentage","14.5"
"2018","Portugal","Total","Total","Pourcentage","12.9"
"2018","Roumanie","Total","Total","Pourcentage","14.8"
"2018","Slovénie","Total","Total","Pourcentage","16.4"
"2018","Slovaquie","Total","Total","Pourcentage","9.6"
"2018","Finlande","Total","Total","Pourcentage","8.7"
"2018","Suède","Total","Total","Pourcentage","6.4"
"2018","Islande","Total","Total","Pourcentage","7.6"
"2018","Norvège","Total","Total","Pourcentage","8.7"
"2018","Suisse","Total","Total","Pourcentage","8.7"
"2018","Royaume-Uni","Total","Total","Pourcentage","14.0"
"2018","Macédoine du Nord","Total","Total","Pourcentage","9.9"
"2018","Serbie","Total","Total","Pourcentage","12.0"
"2018","Turquie","Total","Total","Pourcentage","24.8"
"2019","Union européenne (UE6-1958, UE9-1973, UE10-1981, UE12-1986, UE15-1995, UE25-2004, UE27-2007, UE28-2013, UE27-2020)","Total","Total","Pourcentage","15.0"
"2019","Union européenne - 27 pays (à partir de 2020)","Total","Total","Pourcentage","15.1"
"2019","Union européenne - 28 pays (2013-2020)","Total","Total","Pourcentage","15.0"
"2019","Union européenne - 27 pays (2007-2013)","Total","Total","Pourcentage","15.1"
"2019","Zone euro (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Total","Pourcentage","16.0"
"2019","Zone euro - 19 pays (à partir de 2015)","Total","Total","Pourcentage","16.0"
"2019","Zone euro - 18 pays (2014)","Total","Total","Pourcentage","16.0"
"2019","Belgique","Total","Total","Pourcentage","15.0"
"2019","Bulgarie","Total","Total","Pourcentage","13.1"
"2019","Tchéquie","Total","Total","Pourcentage","11.1"
"2019","Danemark","Total","Total","Pourcentage","8.4"
"2019","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Pourcentage","25.2"
"2019","Estonie","Total","Total","Pourcentage","10.2"
"2019","Irlande","Total","Total","Pourcentage","6.5"
"2019","Grèce","Total","Total","Pourcentage","20.2"
"2019","Espagne","Total","Total","Pourcentage","9.9"
"2019","France","Total","Total","Pourcentage","14.9"
"2019","Croatie","Total","Total","Pourcentage","5.9"
"2019","Italie","Total","Total","Pourcentage","12.4"
"2019","Chypre","Total","Total","Pourcentage","8.4"
"2019","Lettonie","Total","Total","Pourcentage","18.3"
"2019","Lituanie","Total","Total","Pourcentage","17.1"
"2019","Luxembourg","Total","Total","Pourcentage","15.2"
"2019","Hongrie","Total","Total","Pourcentage","12.4"
"2019","Malte","Total","Total","Pourcentage","33.9"
"2019","Pays-Bas","Total","Total","Pourcentage","14.9"
"2019","Autriche","Total","Total","Pourcentage","10.5"
"2019","Pologne","Total","Total","Pourcentage","13.8"
"2019","Portugal","Total","Total","Pourcentage","13.5"
"2019","Roumanie","Total","Total","Pourcentage","13.5"
"2019","Slovénie","Total","Total","Pourcentage","16.2"
"2019","Slovaquie","Total","Total","Pourcentage","9.5"
"2019","Finlande","Total","Total","Pourcentage","9.4"
"2019","Suède","Total","Total","Pourcentage","6.6"
"2019","Islande","Total","Total","Pourcentage",":"
"2019","Norvège","Total","Total","Pourcentage","7.7"
"2019","Suisse","Total","Total","Pourcentage","8.6"
"2019","Royaume-Uni","Total","Total","Pourcentage",":"
"2019","Macédoine du Nord","Total","Total","Pourcentage","13.9"
"2019","Serbie","Total","Total","Pourcentage","13.9"
"2019","Turquie","Total","Total","Pourcentage","26.1"
"2020","Union européenne (UE6-1958, UE9-1973, UE10-1981, UE12-1986, UE15-1995, UE25-2004, UE27-2007, UE28-2013, UE27-2020)","Total","Total","Pourcentage",":"
"2020","Union européenne - 27 pays (à partir de 2020)","Total","Total","Pourcentage","13.2"
"2020","Union européenne - 28 pays (2013-2020)","Total","Total","Pourcentage",":"
"2020","Union européenne - 27 pays (2007-2013)","Total","Total","Pourcentage",":"
"2020","Zone euro (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Total","Pourcentage","13.9"
"2020","Zone euro - 19 pays (à partir de 2015)","Total","Total","Pourcentage","13.9"
"2020","Zone euro - 18 pays (2014)","Total","Total","Pourcentage","13.9"
"2020","Belgique","Total","Total","Pourcentage","11.8"
"2020","Bulgarie","Total","Total","Pourcentage","11.6"
"2020","Tchéquie","Total","Total","Pourcentage","8.8"
"2020","Danemark","Total","Total","Pourcentage","9.4"
"2020","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Pourcentage","13.4"
"2020","Estonie","Total","Total","Pourcentage","8.1"
"2020","Irlande","Total","Total","Pourcentage","8.2"
"2020","Grèce","Total","Total","Pourcentage","20.2"
"2020","Espagne","Total","Total","Pourcentage","11.8"
"2020","France","Total","Total","Pourcentage","18.4"
"2020","Croatie","Total","Total","Pourcentage","5.5"
"2020","Italie","Total","Total","Pourcentage","15.4"
"2020","Chypre","Total","Total","Pourcentage","8.9"
"2020","Lettonie","Total","Total","Pourcentage","15.7"
"2020","Lituanie","Total","Total","Pourcentage","17.0"
"2020","Luxembourg","Total","Total","Pourcentage","14.6"
"2020","Hongrie","Total","Total","Pourcentage","11.7"
"2020","Malte","Total","Total","Pourcentage","31.6"
"2020","Pays-Bas","Total","Total","Pourcentage","14.2"
"2020","Autriche","Total","Total","Pourcentage","7.9"
"2020","Pologne","Total","Total","Pourcentage",":"
"2020","Portugal","Total","Total","Pourcentage","13.2"
"2020","Roumanie","Total","Total","Pourcentage","12.3"
"2020","Slovénie","Total","Total","Pourcentage","15.5"
"2020","Slovaquie","Total","Total","Pourcentage","9.8"
"2020","Finlande","Total","Total","Pourcentage","9.2"
"2020","Suède","Total","Total","Pourcentage","5.9"
"2020","Islande","Total","Total","Pourcentage",":"
"2020","Norvège","Total","Total","Pourcentage","7.9"
"2020","Suisse","Total","Total","Pourcentage","7.7"
"2020","Royaume-Uni","Total","Total","Pourcentage",":"
"2020","Macédoine du Nord","Total","Total","Pourcentage",":"
"2020","Serbie","Total","Total","Pourcentage","16.9"
"2020","Turquie","Total","Total","Pourcentage","22.6"
